item_id,transaction_id,product_id,quantity,is_organic_purchased
I0000001,T000001,P00049,1,False
I0000002,T000001,P00139,1,False
I0000003,T000001,P00045,1,False
I0000004,T000001,P00010,1,False
I0000005,T000001,P00015,1,False
I0000006,T000001,P00155,1,False
I0000007,T000001,P00006,1,False
I0000008,T000002,P00046,1,False
I0000009,T000002,P00016,1,False
I0000010,T000002,P00038,1,False
I0000011,T000002,P00029,1,False
I0000012,T000002,P00019,1,False
I0000013,T000003,P00078,1,False
I0000014,T000003,P00035,1,False
I0000015,T000003,P00112,1,False
I0000016,T000003,P00167,1,False
I0000017,T000003,P00045,1,False
I0000018,T000004,P00033,1,False
I0000019,T000004,P00001,2,False
I0000020,T000004,P00146,1,False
I0000021,T000004,P00047,2,False
I0000022,T000004,P00157,1,False
I0000023,T000005,P00085,1,False
I0000024,T000005,P00061,2,False
I0000025,T000005,P00082,1,False
I0000026,T000005,P00163,1,False
I0000027,T000006,P00028,1,False
I0000028,T000006,P00013,4,False
I0000029,T000006,P00113,4,False
I0000030,T000006,P00043,4,False
I0000031,T000006,P00127,4,False
I0000032,T000007,P00148,2,False
I0000033,T000007,P00042,4,False
I0000034,T000007,P00019,1,False
I0000035,T000007,P00076,1,False
I0000036,T000007,P00082,3,False
I0000037,T000007,P00027,1,False
I0000038,T000008,P00141,1,False
I0000039,T000008,P00087,5,False
I0000040,T000008,P00158,4,False
I0000041,T000009,P00014,1,False
I0000042,T000009,P00085,1,False
I0000043,T000009,P00049,1,False
I0000044,T000009,P00179,1,False
I0000045,T000010,P00093,1,False
I0000046,T000010,P00110,1,False
I0000047,T000010,P00076,2,False
I0000048,T000011,P00164,2,False
I0000049,T000011,P00021,2,False
I0000050,T000011,P00030,2,False
I0000051,T000011,P00102,2,False
I0000052,T000012,P00100,1,False
I0000053,T000012,P00095,2,False
I0000054,T000012,P00095,1,False
I0000055,T000012,P00115,1,False
I0000056,T000012,P00068,2,False
I0000057,T000012,P00120,2,False
I0000058,T000012,P00058,2,False
I0000059,T000013,P00016,4,False
I0000060,T000013,P00134,4,False
I0000061,T000013,P00138,4,False
I0000062,T000013,P00147,2,False
I0000063,T000013,P00122,3,False
I0000064,T000013,P00021,4,False
I0000065,T000013,P00009,5,False
I0000066,T000014,P00115,2,False
I0000067,T000014,P00043,2,False
I0000068,T000014,P00050,2,False
I0000069,T000015,P00161,2,False
I0000070,T000015,P00153,3,False
I0000071,T000015,P00082,1,False
I0000072,T000015,P00023,4,False
I0000073,T000016,P00134,4,False
I0000074,T000016,P00004,5,False
I0000075,T000016,P00151,5,False
I0000076,T000016,P00108,1,False
I0000077,T000016,P00107,2,False
I0000078,T000017,P00026,3,False
I0000079,T000017,P00138,3,False
I0000080,T000017,P00106,3,False
I0000081,T000017,P00099,4,False
I0000082,T000017,P00147,5,False
I0000083,T000017,P00122,1,False
I0000084,T000017,P00045,3,False
I0000085,T000018,P00122,2,False
I0000086,T000018,P00096,1,False
I0000087,T000018,P00087,2,False
I0000088,T000019,P00035,2,False
I0000089,T000019,P00114,2,False
I0000090,T000019,P00069,2,False
I0000091,T000019,P00155,1,False
I0000092,T000020,P00133,2,False
I0000093,T000020,P00015,1,False
I0000094,T000020,P00017,2,False
I0000095,T000020,P00130,2,False
I0000096,T000020,P00035,1,False
I0000097,T000020,P00045,1,False
I0000098,T000021,P00009,2,False
I0000099,T000021,P00013,2,False
I0000100,T000021,P00051,2,False
I0000101,T000021,P00095,2,False
I0000102,T000022,P00151,1,True
I0000103,T000022,P00089,1,False
I0000104,T000022,P00067,1,False
I0000105,T000022,P00073,1,False
I0000106,T000022,P00099,1,True
I0000107,T000022,P00042,1,False
I0000108,T000023,P00167,1,False
I0000109,T000023,P00132,1,True
I0000110,T000023,P00175,1,False
I0000111,T000023,P00122,1,True
I0000112,T000023,P00166,1,False
I0000113,T000024,P00156,1,True
I0000114,T000024,P00165,1,True
I0000115,T000024,P00109,1,True
I0000116,T000024,P00090,1,False
I0000117,T000024,P00065,1,False
I0000118,T000025,P00027,1,True
I0000119,T000025,P00131,1,False
I0000120,T000025,P00144,1,True
I0000121,T000025,P00077,1,False
I0000122,T000025,P00124,1,True
I0000123,T000025,P00087,1,True
I0000124,T000025,P00164,1,False
I0000125,T000026,P00039,1,False
I0000126,T000026,P00015,1,False
I0000127,T000026,P00170,1,False
I0000128,T000026,P00175,1,False
I0000129,T000027,P00104,4,False
I0000130,T000027,P00010,2,False
I0000131,T000027,P00088,2,False
I0000132,T000027,P00176,4,False
I0000133,T000027,P00172,3,False
I0000134,T000027,P00130,3,False
I0000135,T000028,P00121,1,False
I0000136,T000028,P00067,1,False
I0000137,T000028,P00175,2,False
I0000138,T000029,P00079,2,True
I0000139,T000029,P00085,2,True
I0000140,T000029,P00067,2,False
I0000141,T000029,P00119,1,False
I0000142,T000030,P00136,1,False
I0000143,T000030,P00106,1,False
I0000144,T000030,P00039,1,False
I0000145,T000030,P00052,1,False
I0000146,T000030,P00105,1,False
I0000147,T000030,P00037,1,False
I0000148,T000031,P00086,1,False
I0000149,T000031,P00081,1,False
I0000150,T000031,P00002,1,False
I0000151,T000031,P00071,1,False
I0000152,T000031,P00044,1,False
I0000153,T000031,P00126,1,False
I0000154,T000032,P00110,1,False
I0000155,T000032,P00099,1,False
I0000156,T000032,P00010,1,False
I0000157,T000032,P00096,1,False
I0000158,T000032,P00083,1,False
I0000159,T000032,P00005,1,False
I0000160,T000033,P00080,1,False
I0000161,T000033,P00027,1,False
I0000162,T000033,P00129,1,False
I0000163,T000033,P00043,1,False
I0000164,T000033,P00012,1,False
I0000165,T000034,P00088,2,False
I0000166,T000034,P00092,1,False
I0000167,T000034,P00043,2,True
I0000168,T000034,P00005,1,True
I0000169,T000035,P00151,3,True
I0000170,T000035,P00044,1,True
I0000171,T000035,P00094,3,False
I0000172,T000036,P00137,3,False
I0000173,T000036,P00013,3,False
I0000174,T000036,P00013,3,False
I0000175,T000036,P00028,3,False
I0000176,T000036,P00006,1,False
I0000177,T000037,P00180,1,False
I0000178,T000037,P00053,1,False
I0000179,T000037,P00078,1,False
I0000180,T000037,P00170,1,False
I0000181,T000037,P00170,1,False
I0000182,T000037,P00160,1,False
I0000183,T000038,P00156,2,False
I0000184,T000038,P00068,2,False
I0000185,T000038,P00092,4,False
I0000186,T000038,P00076,2,False
I0000187,T000039,P00085,2,False
I0000188,T000039,P00001,1,False
I0000189,T000039,P00172,1,False
I0000190,T000039,P00029,4,False
I0000191,T000039,P00039,1,False
I0000192,T000039,P00131,1,False
I0000193,T000040,P00117,3,False
I0000194,T000040,P00068,4,False
I0000195,T000040,P00013,1,False
I0000196,T000040,P00045,1,False
I0000197,T000041,P00030,1,False
I0000198,T000041,P00012,1,False
I0000199,T000041,P00036,2,False
I0000200,T000041,P00085,3,False
I0000201,T000041,P00113,3,False
I0000202,T000041,P00024,3,False
I0000203,T000042,P00177,4,False
I0000204,T000042,P00108,2,True
I0000205,T000042,P00029,2,False
I0000206,T000042,P00179,1,False
I0000207,T000042,P00041,1,True
I0000208,T000042,P00107,5,False
I0000209,T000043,P00157,4,False
I0000210,T000043,P00092,5,False
I0000211,T000043,P00008,2,False
I0000212,T000043,P00124,4,True
I0000213,T000044,P00017,3,False
I0000214,T000044,P00168,3,True
I0000215,T000044,P00004,5,True
I0000216,T000045,P00170,2,False
I0000217,T000045,P00124,3,False
I0000218,T000045,P00170,4,False
I0000219,T000045,P00039,5,False
I0000220,T000045,P00157,1,False
I0000221,T000045,P00003,2,False
I0000222,T000046,P00020,4,False
I0000223,T000046,P00083,2,False
I0000224,T000046,P00085,3,False
I0000225,T000046,P00013,5,False
I0000226,T000047,P00021,4,False
I0000227,T000047,P00114,5,False
I0000228,T000047,P00115,1,False
I0000229,T000047,P00128,4,False
I0000230,T000048,P00104,4,False
I0000231,T000048,P00010,5,False
I0000232,T000048,P00141,1,False
I0000233,T000049,P00144,2,False
I0000234,T000049,P00168,4,False
I0000235,T000049,P00088,3,False
I0000236,T000049,P00014,2,False
I0000237,T000049,P00117,3,False
I0000238,T000049,P00144,5,False
I0000239,T000049,P00154,4,False
I0000240,T000050,P00091,1,False
I0000241,T000050,P00141,1,False
I0000242,T000050,P00180,1,False
I0000243,T000050,P00012,1,False
I0000244,T000050,P00127,1,False
I0000245,T000051,P00157,1,False
I0000246,T000051,P00049,1,False
I0000247,T000051,P00101,1,False
I0000248,T000051,P00118,1,False
I0000249,T000051,P00087,1,False
I0000250,T000052,P00118,1,False
I0000251,T000052,P00128,1,False
I0000252,T000052,P00136,1,False
I0000253,T000052,P00142,1,False
I0000254,T000052,P00150,1,False
I0000255,T000052,P00131,1,False
I0000256,T000053,P00099,1,True
I0000257,T000053,P00156,1,True
I0000258,T000053,P00071,1,False
I0000259,T000053,P00088,1,False
I0000260,T000053,P00116,1,True
I0000261,T000053,P00036,1,True
I0000262,T000053,P00155,1,False
I0000263,T000054,P00162,1,False
I0000264,T000054,P00052,1,False
I0000265,T000054,P00160,1,False
I0000266,T000054,P00176,1,False
I0000267,T000054,P00173,1,True
I0000268,T000054,P00167,1,False
I0000269,T000054,P00129,1,False
I0000270,T000055,P00147,1,False
I0000271,T000055,P00173,1,True
I0000272,T000055,P00109,1,True
I0000273,T000055,P00134,1,False
I0000274,T000055,P00007,1,False
