product_id,product_name,category_id,brand_id,is_organic_available
P00001,NatureNest_Staples_Item_1,1,4,True
P00002,BakeHouse_Staples_Item_2,1,12,False
P00003,TasteCo_Staples_Item_3,1,9,False
P00004,FreshFarm_Staples_Item_4,1,1,True
P00005,PureHarvest_Staples_Item_5,1,2,True
P00006,CoolSip_Staples_Item_6,1,13,False
P00007,TasteCo_Staples_Item_7,1,9,False
P00008,BakeHouse_Staples_Item_8,1,12,False
P00009,NatureNest_Staples_Item_9,1,4,True
P00010,TasteCo_Staples_Item_10,1,9,False
P00011,PureHarvest_Staples_Item_11,1,2,True
P00012,DailyChoice_Staples_Item_12,1,5,False
P00013,Snackify_Staples_Item_13,1,10,False
P00014,PureHarvest_Staples_Item_14,1,2,True
P00015,DailyChoice_Staples_Item_15,1,5,False
P00016,CrunchyBite_Staples_Item_16,1,11,False
P00017,CrunchyBite_Staples_Item_17,1,11,False
P00018,CoolSip_Staples_Item_18,1,13,False
P00019,CrunchyBite_Staples_Item_19,1,11,False
P00020,QuickBuy_Staples_Item_20,1,8,False
P00021,CoolSip_Staples_Item_21,1,13,False
P00022,Snackify_Staples_Item_22,1,10,False
P00023,DailyChoice_Staples_Item_23,1,5,False
P00024,ValueMart_Staples_Item_24,1,6,False
P00025,DailyChoice_Staples_Item_25,1,5,False
P00026,BakeHouse_Staples_Item_26,1,12,False
P00027,PureHarvest_Staples_Item_27,1,2,True
P00028,CrunchyBite_Staples_Item_28,1,11,False
P00029,CoolSip_Staples_Item_29,1,13,False
P00030,CrunchyBite_Staples_Item_30,1,11,False
P00031,ValueMart_Staples_Item_31,1,6,False
P00032,DailyChoice_Staples_Item_32,1,5,False
P00033,TasteCo_Staples_Item_33,1,9,False
P00034,DailyChoice_Staples_Item_34,1,5,False
P00035,CoolSip_Staples_Item_35,1,13,False
P00036,HomeBest_Staples_Item_36,1,7,False
P00037,CrunchyBite_Staples_Item_37,1,11,False
P00038,NatureNest_Staples_Item_38,1,4,True
P00039,DairyPure_Staples_Item_39,1,14,False
P00040,TasteCo_Staples_Item_40,1,9,False
P00041,GreenLeaf_Staples_Item_41,1,3,True
P00042,ValueMart_Staples_Item_42,1,6,False
P00043,UrbanEats_Staples_Item_43,1,15,False
P00044,GreenLeaf_Staples_Item_44,1,3,True
P00045,Snackify_Staples_Item_45,1,10,False
P00046,GreenLeaf_Staples_Item_46,1,3,True
P00047,HomeBest_Staples_Item_47,1,7,False
P00048,HomeBest_Staples_Item_48,1,7,False
P00049,PureHarvest_Staples_Item_49,1,2,True
P00050,DailyChoice_Staples_Item_50,1,5,False
P00051,NatureNest_Produce_Item_1,2,4,True
P00052,HomeBest_Produce_Item_2,2,7,False
P00053,GreenLeaf_Produce_Item_3,2,3,True
P00054,Snackify_Produce_Item_4,2,10,False
P00055,ValueMart_Produce_Item_5,2,6,False
P00056,CoolSip_Produce_Item_6,2,13,False
P00057,NatureNest_Produce_Item_7,2,4,True
P00058,BakeHouse_Produce_Item_8,2,12,False
P00059,CrunchyBite_Produce_Item_9,2,11,False
P00060,DairyPure_Produce_Item_10,2,14,False
P00061,CoolSip_Produce_Item_11,2,13,False
P00062,CrunchyBite_Produce_Item_12,2,11,False
